X,Y,Type,IsAlignmentKey,Enable_LIV,Enable_NF,Enable_FF,Status_LIV,Status_NF,Status_FF,Emitter Mapping
68,164,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
67,164,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
66,164,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
66,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
67,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
68,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
69,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
70,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
71,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
72,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
73,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
74,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
75,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
76,165,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
76,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
75,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
74,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
73,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
72,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
70,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
69,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
68,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
67,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
66,166,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
66,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
67,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
68,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
69,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
70,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
71,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
72,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
73,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
74,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
75,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
76,167,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
76,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
75,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
74,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
73,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
72,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
