Index,x,y
99,333.3315789,-181.8653348
100,373.7315789,-181.8653348
101,-373.6684211,-145.4922678
102,-333.2684211,-145.4922678
103,-292.8684211,-145.4922678
104,-252.4684211,-145.4922678
105,-212.0684211,-145.4922678
106,-171.6684211,-145.4922678
107,-131.2684211,-145.4922678
108,-90.86842105,-145.4922678
109,-50.46842105,-145.4922678
110,-10.06842105,-145.4922678
111,30.33157895,-145.4922678
112,70.73157895,-145.4922678
113,111.1315789,-145.4922678
114,151.5315789,-145.4922678
115,191.9315789,-145.4922678
116,232.3315789,-145.4922678
117,272.7315789,-145.4922678
118,313.1315789,-145.4922678
119,353.5315789,-145.4922678
120,393.9315789,-145.4922678
121,-393.8684211,-109.1192009
122,-353.4684211,-109.1192009
123,-313.0684211,-109.1192009
124,-272.6684211,-109.1192009
125,-232.2684211,-109.1192009
126,-191.8684211,-109.1192009
127,-151.4684211,-109.1192009
128,-111.0684211,-109.1192009
129,-70.66842105,-109.1192009
130,-30.26842105,-109.1192009
131,10.13157895,-109.1192009
132,50.53157895,-109.1192009
133,90.93157895,-109.1192009
134,131.3315789,-109.1192009
135,171.7315789,-109.1192009
136,212.1315789,-109.1192009
137,252.5315789,-109.1192009
138,292.9315789,-109.1192009
139,333.3315789,-109.1192009
140,373.7315789,-109.1192009
141,-373.6684211,-72.74613392
142,-333.2684211,-72.74613392
143,-292.8684211,-72.74613392
144,-252.4684211,-72.74613392
145,-212.0684211,-72.74613392
146,-171.6684211,-72.74613392
147,-131.2684211,-72.74613392
148,-90.86842105,-72.74613392
149,-50.46842105,-72.74613392
150,-10.06842105,-72.74613392
151,30.33157895,-72.74613392
152,70.73157895,-72.74613392
153,111.1315789,-72.74613392
154,151.5315789,-72.74613392
155,191.9315789,-72.74613392
156,232.3315789,-72.74613392
157,272.7315789,-72.74613392
158,313.1315789,-72.74613392
159,353.5315789,-72.74613392
160,393.9315789,-72.74613392
161,-393.8684211,-36.37306696
162,-353.4684211,-36.37306696
163,-313.0684211,-36.37306696
164,-272.6684211,-36.37306696
165,-232.2684211,-36.37306696
166,-191.8684211,-36.37306696
167,-151.4684211,-36.37306696
168,-111.0684211,-36.37306696
169,-70.66842105,-36.37306696
170,-30.26842105,-36.37306696
171,10.13157895,-36.37306696
172,50.53157895,-36.37306696
173,90.93157895,-36.37306696
174,131.3315789,-36.37306696
175,171.7315789,-36.37306696
176,212.1315789,-36.37306696
177,252.5315789,-36.37306696
178,292.9315789,-36.37306696
179,333.3315789,-36.37306696
180,373.7315789,-36.37306696
181,-373.6684211,0
182,-333.2684211,0
183,-292.8684211,0
184,-252.4684211,0
185,-212.0684211,0
186,-171.6684211,0
187,-131.2684211,0
188,-90.86842105,0
189,-50.46842105,0
190,-10.06842105,0
191,30.33157895,0
192,70.73157895,0
193,111.1315789,0
194,151.5315789,0
195,191.9315789,0
196,232.3315789,0
197,272.7315789,0
198,313.1315789,0
199,353.5315789,0
200,393.9315789,0
201,-393.8684211,36.37306696
202,-353.4684211,36.37306696
203,-313.0684211,36.37306696
204,-272.6684211,36.37306696
205,-232.2684211,36.37306696
206,-191.8684211,36.37306696
207,-151.4684211,36.37306696
208,-111.0684211,36.37306696
209,-70.66842105,36.37306696
210,-30.26842105,36.37306696
211,10.13157895,36.37306696
212,50.53157895,36.37306696
213,90.93157895,36.37306696
214,131.3315789,36.37306696
215,171.7315789,36.37306696
216,212.1315789,36.37306696
217,252.5315789,36.37306696
218,292.9315789,36.37306696
219,333.3315789,36.37306696
220,373.7315789,36.37306696
221,-373.6684211,72.7461339
222,-333.2684211,72.7461339
223,-292.8684211,72.7461339
224,-252.4684211,72.7461339
225,-212.0684211,72.7461339
226,-171.6684211,72.7461339
227,-131.2684211,72.7461339
228,-90.86842105,72.7461339
229,-50.46842105,72.7461339
230,-10.06842105,72.7461339
231,30.33157895,72.7461339
232,70.73157895,72.7461339
233,111.1315789,72.7461339
234,151.5315789,72.7461339
235,191.9315789,72.7461339
